id,Имя,Лимит,"Цена, софт","Цена,Хард","Цена, зачеркнутая харда",Дата начала,Дата окончания,Сегмент,Тип,даты запуска продаж,Комментарий
s39,Красочная смерть,,,99,599,22.04.2021,29.04.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s40,Рик,,,149,849,04.02.2021,11.02.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s41,Смоук,,,99,599,28.01.2021,04.02.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s42,Танец греха,,,69,499,21.01.2021,28.01.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
s43,Царь ержан,,,89,549,28.01.2021,04.02.2021,1 \ 2\ 3 \4,Винил, ,https://drive.google.com/drive/u/1/folders/19iHaPB6OgAy0_3uu2o_sGJqoBCP3U6zZ
85,ОМОН,,,990,4 990,03.09.2020,10.09.2020,1 \ 2,Номера, ,
86,ЛОКДАУН,,,490,4 990,03.09.2020,10.09.2020,3 \ 4,Номера,,
6604,Subaru WRX STI,,3 490 000,2 690,5 000,18.03.2021,25.03.2021,3\ 4,Транспорт,,
6601,Infiniti Q60,,4 990 000,3 990,8 000,07.01.2021,14.01.2021,1 \ 2,Транспорт,,
87,ВОР,,,990,4 990,10.09.2020,17.09.2020,1 \ 2,Номера,,добавить флаг РФ
88,СМЕРТЬ,,,490,4 990,10.09.2020,17.09.2020,3 \ 4,Номера,,добавить флаг РФ
89,РИК,,,990,4 990,04.02.2021,11.02.2021,1 \ 2 \ 3,Номера,,Флаг РФ
90,МОРТИ,,,490,4 990,17.09.2020,24.09.2020,3 \ 4,Номера,,Флаг РФ
91,ЕКХ,,,990,4 990,08.04.2021,15.04.2021,1 \ 2 \ 3,Номера,,Флаг РФ
92,БРАТВА,,,490,4 990,08.04.2021,15.04.2021,2 \3 \ 4,Номера,,Флаг РФ
93,ВЛАСТЬ,,,990,4 990,01.10.2020,08.10.2020,1 \ 2 \ 3,Номера,,Флаг РФ
94,ФБР,,,490,4 990,01.10.2020,08.10.2020,2 \ 3 \ 4,Номера,,Флаг РФ
pack_1,Апокалипсис,,,4990,11 000,10.09.2020,17.09.2020,1 \ 2\ 3 \4,Пак,,
pack_2,Форсаж 1,,,2990,7 000,17.09.2020,24.09.2020,1 \ 2\ 3 \4,Пак,,
pack_3,Форсаж 2,,,3190,8 000,01.10.2020,08.10.2020,1 \ 2\ 3 \4,Пак,,
pack_4,Ниндзя,,,1990,4 000,25.02.2021,04.03.2021,1 \ 2\ 3 \4,Пак,,
pack_5,Джентельмен,,,4990,11 000,15.10.2020,22.10.2020,1 \ 2\ 3 \4,Пак,,
pack_6,Американбой,,,6099,12 500,08.10.2020,15.10.2020,1 \ 2\ 3 \4,Пак,,
neon_1,Звездный полк,,,999,3 000,28.01.2021,04.02.2021,1 \ 2\ 3 \4,Неон,,
neon_2,Утопление,,,899,3 000,28.01.2021,04.02.2021,1 \ 2\ 3 \4,Неон,,
neon_11,Воющие исступление,,,869,3 000,04.02.2021,11.02.2021,1 \ 2\ 3 \4,Неон,,
neon_12,Кибер атака,,,949,3 000,04.02.2021,11.02.2021,1 \ 2\ 3 \4,Неон,,
neon_14,Сложность выбора,,,599,3 000,11.02.2021,18.02.2021,1 \ 2\ 3 \4,Неон,,
neon_15,Кровавая мечта,,,999,3 000,11.02.2021,18.02.2021,1 \ 2\ 3 \4,Неон,,
neon_19,Возвращение,,,729,3 000,18.02.2021,25.02.2021,1 \ 2\ 3 \4,Неон,,
neon_21,СССР,,,989,3 000,25.03.2021,01.04.2021,1 \ 2\ 3 \4,Неон,,
neon_22,BMW,,,989,3 000,18.02.2021,25.02.2021,1 \ 2\ 3 \4,Неон,,
neon_24,Нежность,,,829,3 000,25.02.2021,04.03.2021,1 \ 2\ 3 \4,Неон,,
neon_27,Надгробная молодость,,,999,3 000,04.03.2021,11.03.2021,1 \ 2\ 3 \4,Неон,,
neon_28,Летнее счастье,,,899,3 000,04.03.2021,11.03.2021,1 \ 2\ 3 \4,Неон,,
neon_33,Сеть,,,719,3 000,11.03.2021,18.03.2021,1 \ 2\ 3 \4,Неон,,
neon_34,Город,,,829,3 000,11.03.2021,18.03.2021,1 \ 2\ 3 \4,Неон,,
neon_36,Любовная история,,,949,3 000,18.03.2021,25.03.2021,1 \ 2\ 3 \4,Неон,,
neon_37,Карточная страсть,,,959,3 000,18.03.2021,25.03.2021,1 \ 2\ 3 \4,Неон,,
neon_38,Огромные пиксели,,,839,3 000,25.03.2021,01.04.2021,1 \ 2\ 3 \4,Неон,,
neon_41,Mazda,,,939,3 000,20.05.2021,27.05.2021,1 \ 2\ 3 \4,Неон,,
neon_42,Живой огонь,,,869,3 000,01.04.2021,08.04.2021,1 \ 2\ 3 \4,Неон,,
neon_49,Дабстеп,,,939,3 000,01.04.2021,08.04.2021,1 \ 2\ 3 \4,Неон,,
neon_50,Безпринципный стиль,,,949,3 000,08.04.2021,15.04.2021,1 \ 2\ 3 \4,Неон,,
neon_51,Роршех кончился,,,889,3 000,08.04.2021,15.04.2021,1 \ 2\ 3 \4,Неон,,
neon_52,Цветочное счастье,,,929,3 000,15.04.2021,22.04.2021,1 \ 2\ 3 \4,Неон,,
neon_53,Розовые мечты,,,879,3 000,15.04.2021,22.04.2021,1 \ 2\ 3 \4,Неон,,
neon_54,Мечи,,,959,3 000,22.04.2021,29.04.2021,1 \ 2\ 3 \4,Неон,,
neon_55,Рука,,,969,3 000,22.04.2021,29.04.2021,1 \ 2\ 3 \4,Неон,,
neon_58,Праздничные шары,,,819,3 000,29.04.2021,06.05.2021,1 \ 2\ 3 \4,Неон,,
neon_59,Безграничная любовь,,,899,3 000,29.04.2021,06.05.2021,1 \ 2\ 3 \4,Неон,,
neon_60,Музыка в крови,,,729,3 000,06.05.2021,13.05.2021,1 \ 2\ 3 \4,Неон,,
neon_62,Неоновое пламя,,,959,3 000,06.05.2021,13.05.2021,1 \ 2\ 3 \4,Неон,,
neon_63,Лекарство бездушия,,,969,3 000,13.05.2021,20.05.2021,1 \ 2\ 3 \4,Неон,,
neon_64,Взрыв частиц,,,819,3 000,13.05.2021,20.05.2021,1 \ 2\ 3 \4,Неон,,
neon_66,Неоновый путь,,,919,3 000,20.05.2021,27.05.2021,1 \ 2\ 3 \4,Неон,,
neon_67,Икс космос,,,939,3 000,14.01.2021,21.01.2021,1 \ 2\ 3 \4,Неон,,
neon_68,Монстер,,,979,3 000,21.01.2021,28.01.2021,1 \ 2\ 3 \4,Неон,,
neon_69,Синее пламя,,,999,3 000,21.01.2021,28.01.2021,1 \ 2\ 3 \4,Неон,,
95,АМР,,,990,4 990,01.04.2021,08.04.2021,1 \ 2 \ 3,Номера,,Флаг РФ
96,КОРОЛЬ,,,490,4 990,01.04.2021,08.04.2021,2 \ 3 \ 4,Номера,,Флаг РФ
97,БАТЯ,,,990,4 990,15.10.2020,22.10.2020,1 \ 2 \ 3,Номера,,Флаг РФ
98,ВОИН,,,490,4 990,15.10.2020,22.10.2020,2 \ 3 \ 4,Номера,,Флаг РФ
99,ОПАСНЫЙ,,,990,4 990,15.04.2021,22.04.2021,1 \ 2 \ 3,Номера,,Флаг РФ
100,ОТЕЦ,,,490,4 990,15.04.2021,22.04.2021,2 \ 3 \ 4,Номера,,Флаг РФ
101,СВЯТОЙ,,,990,4 990,29.10.2020,05.11.2020,1 \ 2 \ 3,Номера,,Флаг РФ
6611,Jaguar I-Pace,,6900000,4 490,10 000,06.05.2021,13.05.2021,1 \ 2,Транспорт,,Электро тачка
6609,Honda Civic Type R,,3490000,2 490,6 000,25.02.2021,04.03.2021,3 \ 4,Транспорт,,
6608,Cadillac CTS-V,,6900000,4 490,8 000,25.02.2021,04.03.2021,1 \ 2,Транспорт,,
pack_7,Космический,,,9900,20 000,11.02.2021,18.02.2021,1 \ 2\ 3 \4,Пак,,https://docs.google.com/spreadsheets/d/1UEqQ9XNQXFNXJUBw3Wf-Y4GGl46tkZmwa75XTbJdxIk/edit#gid=1103045834
pack_8,Классический,,,9900,22 000,12.11.2020,19.11.2020,1 \ 2\ 3 \4,Пак,,https://docs.google.com/spreadsheets/d/1UEqQ9XNQXFNXJUBw3Wf-Y4GGl46tkZmwa75XTbJdxIk/edit#gid=1701472312
pack_9,Такси NEXT,,,3549,7 300,19.11.2020,26.11.2020,1 \ 2\ 3 \4,Пак,,https://docs.google.com/spreadsheets/d/1UEqQ9XNQXFNXJUBw3Wf-Y4GGl46tkZmwa75XTbJdxIk/edit#gid=1027320627
pack_10,Итальянский,,,8900,18 000,18.02.2021,25.02.2021,1 \ 2\ 3 \4,Пак,,https://docs.google.com/spreadsheets/d/1UEqQ9XNQXFNXJUBw3Wf-Y4GGl46tkZmwa75XTbJdxIk/edit#gid=698961123
pack_11,Зараженный,,,9900,22 500,29.10.2020,05.11.2020,1 \ 2\ 3 \4,Пак,,https://docs.google.com/spreadsheets/d/1UEqQ9XNQXFNXJUBw3Wf-Y4GGl46tkZmwa75XTbJdxIk/edit#gid=1267619517
,Пак VIP жетонов (10),500,,790,990,10.12.2020,17.12.2020,1 \ 2 \ 3 \ 4,Пак_лимит,,лимитированный
,Пак VIP жетонов (5),1 000,,420,495,17.12.2020,24.12.2020,1 \ 2 \ 3 \ 4,Пак_лимит,,лимитированный
,Пак ремкомплектов (10),1 000,,150,250,24.12.2020,31.12.2020,1 \ 2 \ 3 \ 4,Пак_лимит,,"лимитированный
Показываем в кол-во в шт, а не %"
411,Audi R8,100,12 500 000,4 490,12 500,10.12.2020,17.12.2020,1 \ 2 \ 3 \ 4,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда"
451,Ferrari 458,100,18 000 000,6 900,18 000,17.12.2020,24.12.2020,1 \ 2,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда"
541,Lamborgini Gallardo,100,13 500 000,5 900,13 500,31.12.2020,07.01.2021,1 \ 2,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда
Показываем в кол-во в шт, а не %"
576,Pontiac GTO,100,5 900 000,2 990,6 500,24.12.2020,31.12.2020,1 \ 2 \ 3 \ 4,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда
Показываем в кол-во в шт, а не %"
419,Dodge Charger,50,1 490 000,790,2 000,14.01.2021,21.01.2021,1 \ 2 \ 3 \ 4,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда"
pack_12,Сутенерский,,,1 650,5 086,26.11.2020,03.12.2020,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1TgzzUuqBu_3hxKB3YguRO-FLRwTsJRUO
pack_13,Сафари,,,4 195,10 775,10.12.2020,17.12.2020,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_14,Пятый элемент,,,539,979,03.12.2020,10.12.2020,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_15,Шляпник,,,3 050,8 595,17.12.2020,24.12.2020,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_16,Зловещий,,,7 890,17 844,28.01.2021,04.02.2021,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_17,Рыцарь Дорог,,,4 659,9 993,21.01.2021,28.01.2021,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_18,Безумный Макс,,,2 470,5 525,07.01.2021,14.01.2021,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_19,Джокер,,,2 775,6 300,14.01.2021,21.01.2021,2 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
102,ЛЮТЫЙ,,,990,4 990,26.11.2020,03.12.2020,1 \ 2 \ 3,Номера,,Флаг РФ
103,ДАБСТЕП,,,490,4 990,26.11.2020,03.12.2020,2 \ 3 \ 4,Номера,,Флаг РФ
m3_acse16,Шипастый ошейник,,129 000,49,129,03.12.2020,10.12.2020,1 \ 2\ 3 \4,Аксессуар,,2359
m3_acse14,Ковбойская шляпа,,190 000,99,190,06.05.2021,13.05.2021,1 \ 2\ 3 \4,Аксессуар,,2476
wreath,Венок,,300 000,99,300,17.12.2020,24.12.2020,1 \ 2\ 3 \4,Аксессуар,,753
cylinder_hat,Цилиндр,,150 000,69,150,24.12.2020,31.12.2020,1 \ 2\ 3 \4,Аксессуар,,1574
scarf_deserted_r,Красный пустынный шарф,,110 000,49,110,24.12.2020,31.12.2020,1 \ 2\ 3 \4,Аксессуар,,1572
296,Офисный,,790 000,89,790,03.12.2020,10.12.2020,1 \ 2\ 3 \4,Скин,,
297,Бородач,,290 000,69,290,03.12.2020,10.12.2020,1 \ 2\ 3 \4,Скин,,
213,Зимний модник,,400 000,89,400,10.12.2020,17.12.2020,1 \ 2\ 3 \4,Скин,,
190,Джон Сноу,,1 390 000,99,1 390,17.12.2020,24.12.2020,1 \ 2\ 3 \4,Скин,,
177,Новогодний,,1 820 000,99,1 829,17.12.2020,24.12.2020,1 \ 2\ 3 \4,Скин,,
122,Саб зиро,,,99,999,21.01.2021,28.01.2021,1 \ 2\ 3 \4,Скин,,
294,Зимний стиль,,190 000,69,190,24.12.2020,31.12.2020,1 \ 2\ 3 \4,Скин,,
293,Зимняя красотка,,490 000,69,490,24.12.2020,31.12.2020,1 \ 2\ 3 \4,Скин,,
292,Зимняя блондинка,,590 000,69,590,31.12.2020,07.01.2021,1 \ 2\ 3 \4,Скин,,
295,Зимний бомбер,,490 000,69,490,31.12.2020,07.01.2021,1 \ 2\ 3 \4,Скин,,
pack_20,"Пак ""Рик""",,,2 500,5 000,04.02.2021,11.02.2021,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_21,"Пак ""Буран""",,,2 000,4 499,31.12.2020,07.01.2021,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
pack_22,"Пак ""Олени""",,,6 500,13 744,24.12.2020,31.12.2020,1 \ 2\ 3 \4,Пак,,https://drive.google.com/drive/u/0/folders/1SK21VCZaZhGEKjfi57g609ADhMw3k29i
104,ДЕМОН,,,990,4 990,03.12.2020,10.12.2020,1 \ 2 \ 3,Номера,,Флаг РФ
105,МОСКВА,,,490,4 990,03.12.2020,10.12.2020,2 \ 3 \ 4,Номера,,Флаг РФ
106,НЕМЕЦ,,,990,4 990,10.12.2020,17.12.2020,1 \ 2 \ 3,Номера,,Флаг РФ
107,ВОЛЧОК,,,490,4 990,10.12.2020,17.12.2020,2 \ 3 \ 4,Номера,,Флаг РФ
108,СТАРИНА,,,990,4 990,17.12.2020,24.12.2020,1 \ 2 \ 3,Номера,,Флаг РФ
109,РОВНЫЙ,,,490,4 990,17.12.2020,24.12.2020,2 \ 3 \ 4,Номера,,Флаг РФ
110,ПИТБУЛЬ,,,990,4 990,24.12.2020,31.12.2020,1 \ 2 \ 3,Номера,,Флаг РФ
111,ПРЕДАТЕЛЬ,,,490,4 990,24.12.2020,31.12.2020,2 \ 3 \ 4,Номера,,Флаг РФ
112,ДЕДМОРОЗ,,,990,4 990,31.12.2020,07.01.2021,1 \ 2 \ 3,Номера,,Флаг РФ
113,БЫК,,,490,4 990,31.12.2020,07.01.2021,2 \ 3 \ 4,Номера,,Флаг РФ
6620,Mercedes E63 W212,,5990000,3 490,6 000,29.04.2021,06.05.2021,2 \ 3 \ 4,Транспорт,,
6615,Bentley Turbo R,,2900000,1 990,4 000,28.01.2021,04.02.2021,1 / 2 / 3 / 4,Транспорт,,
6617,Nissan Sentra Nismo,,3190000,3 990,6 000,21.01.2021,28.01.2021,1 / 2,Транспорт,,
6618,Subaru BRZ,,5190000,3 490,6 000,24.12.2020,31.12.2020,1 / 2 / 3 / 4,Транспорт,,
429,Bentley continental GT,100,14070000,4 990,14 000,21.01.2021,28.01.2021,1 / 2 / 3 / 4,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда"
602,Mercedes AMG GT,100,12500000,4 990,12 500,28.01.2021,04.02.2021,1 / 2 / 3 / 4,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда"
114,ШИРОКИЙ,,,990,4 990,07.01.2021,14.01.2021,1 \ 2 \ 3,Номера,,Флаг РФ
115,БЕЗУМНЫЙ,,,490,4 990,07.01.2021,14.01.2021,2 \ 3 \ 4,Номера,,Флаг РФ
116,AUDI,,,990,4 990,14.01.2021,21.01.2021,1 \ 2 \ 3,Номера,,Флаг РФ
117,ДЖОКЕР,,,490,4 990,14.01.2021,21.01.2021,2 \ 3 \ 4,Номера,,Флаг РФ
118,ЕРЖАН,,,990,4 990,28.01.2021,04.02.2021,1 \ 2 \ 3,Номера,,Флаг РФ
119,БАНДИТ,,,490,4 990,28.01.2021,04.02.2021,2 \ 3 \ 4,Номера,,Флаг РФ
120,ГАНГСТЕР,,,990,4 990,21.01.2021,28.01.2021,1 \ 2 \ 3,Номера,,Флаг РФ
121,GT,,,490,4 990,21.01.2021,28.01.2021,2 \ 3 \ 4,Номера,,Флаг РФ
218,Ержан,,2500000,399,2 500,28.01.2021,04.02.2021,1 / 2 / 3 / 4,Скин,,
121,МЭР,,,490,4 990,04.02.2021,11.02.2021,2 \ 3 \ 4,Номера,,Флаг РФ
6581,Pagani Huayra,100,,6 990,34 900,04.02.2021,11.02.2021,1 / 2 / 3 / 4,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда"
502,Ferrari LaFerrari,100,,6 990,31 900,25.02.2021,04.03.2021,1 / 2 / 3 / 4,Транспорт,,"лимитированный.
если в салоне то не удаляем ее от туда"
s66,GikaRTI,,,49,199,11.02.2021,18.02.2021,1 \ 2\ 3 \4,Винил,,в унификации battle_bloger_1
6623,BMW M5 E39,,6190000,3 990,6 190,18.02.2021,25.02.2021,1 \ 2\ 3 ,Транспорт,,
6624,Volkswagen Touareg R50,,6900000,3 990,7 900,11.02.2021,18.02.2021,1 \ 2,Транспорт,,
6743,Англичанин,,,399,1 250,25.02.2021,04.03.2021,1 / 2 / 3 / 4,Скин,,
6630,#REF!,,9 900 000,4 900,10 000,04.03.2021,11.03.2021,1 \ 2,Транспорт,,
6628,Audi RS4,,5 490 000,3 490,8000,25.03.2021,01.04.2021,3 \ 4,Транспорт,,
6629,,,14 900 000,4 900,10 000,11.03.2021,18.03.2021,1 \ 2,Транспорт,,
s67,Бейсболистка,,,169,590,04.03.2021,11.03.2021,1 / 2 / 3 / 4,Винил,,
s68,Разрушитель,,,99,390,04.03.2021,11.03.2021,1 / 2 / 3 / 4,Винил,,
s69,Неон,,,69,290,11.03.2021,18.03.2021,1 / 2 / 3 / 4,Винил,,
s70,Якутяночка,,,99,390,18.03.2021,25.03.2021,1 / 2 / 3 / 4,Винил,,
s71,Король и Шут,,,69,290,25.03.2021,01.04.2021,1 / 2 / 3 / 4,Винил,,
s72,Бог войны,,,69,290,01.04.2021,08.04.2021,1 / 2 / 3 / 4,Винил,,
s73,Ухмылка,,,139,490,11.03.2021,18.03.2021,1 / 2 / 3 / 4,Винил,,
s74,Лев,,,69,290,08.04.2021,15.04.2021,1 / 2 / 3 / 4,Винил,,
s75,Огурчик Рик,,,169,590,18.03.2021,25.03.2021,1 / 2 / 3 / 4,Винил,,
s76,Королева,,,99,390,08.04.2021,15.04.2021,1 / 2 / 3 / 4,Винил,,
s77,Праджа,,,169,590,25.03.2021,01.04.2021,1 / 2 / 3 / 4,Винил,,
s78,Закон,,,99,390,15.04.2021,22.04.2021,1 / 2 / 3 / 4,Винил,,
s79,Плющ,,,139,490,01.04.2021,08.04.2021,1 / 2 / 3 / 4,Винил,,
s80,Технарь,,,69,290,15.04.2021,22.04.2021,1 / 2 / 3 / 4,Винил,,
s81,Самурай,,,99,390,22.04.2021,29.04.2021,1 / 2 / 3 / 4,Винил,,
pack_23,Hotline Miami,,,11 190,24 500,04.03.2021,11.03.2021,1 / 2 / 3 / 4,Пак,,https://docs.google.com/spreadsheets/d/1UEqQ9XNQXFNXJUBw3Wf-Y4GGl46tkZmwa75XTbJdxIk/edit#gid=1622969974
pack_24,Водила,,,2 040,4 800,11.03.2021,18.03.2021,1 / 2 / 3 / 4,Пак,,https://docs.google.com/spreadsheets/d/1UEqQ9XNQXFNXJUBw3Wf-Y4GGl46tkZmwa75XTbJdxIk/edit#gid=1997781625
pack_25,Фараон,,,6 880,14 500,18.03.2021,25.03.2021,1 / 2 / 3 / 4,Пак,,
pack_26,Дрифтер,,,2 840,6 400,25.03.2021,01.04.2021,1 / 2 / 3 / 4,Пак,,
pack_27,Рандеву,,,1 580,3 800,08.04.2021,15.04.2021,1 / 2 / 3 / 4,Пак,,
pack_28,Резня,,,2 840,6 300,01.04.2021,08.04.2021,1 / 2 / 3 / 4,Пак,,
pack_29,Противостояние,,,3 680,8 100,22.04.2021,29.04.2021,1 / 2 / 3 / 4,Пак,,
pack_30,На Гаити,,,2 480,5 400,29.04.2021,06.05.2021,1 / 2 / 3 / 4,Пак,,
pack_31,Тонирован,,,1 980,4 000,15.04.2021,22.04.2021,1 / 2 / 3 / 4,Пак,,
pack_32,СНТ Сирень,,,2 180,5 110,06.05.2021,13.05.2021,1 / 2 / 3 / 4,Пак,,
122,АУФ,,,990,5 000,25.03.2021,01.04.2021,1 / 2 / 3 ,Номера,,
123,ПАЦАН,,,490,2 000,25.03.2021,01.04.2021,2 / 3 / 4,Номера,,
506,Nissan GTR,100,10000000,4 900,10 000,04.03.2021,11.03.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
535,Porsche 911 Turbo S,100,14000000,5 190,14 000,11.03.2021,18.03.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
562,Merc SL65 6.0 AT,100,12000000,4 990,12 000,18.03.2021,25.03.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
6535,Mercedes G63 AMG 2019,100,13 000 000,5 490,13 000,25.03.2021,01.04.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
6567,Cybervaz,1 000,890000,494,890,,06.01.1900,1 / 2 / 3 / 4,Транспорт,03.03.2021,Лимитированные из салона не убираем
6571,Toyota Mark2,1 000,4990000,989,4 990,04.03.2021,11.03.2021,1 / 2 / 3 / 4,Транспорт,10.03.2021,Лимитированные из салона не убираем
6531,Bentley Bentayga,100,18000000,7 900,18 000,01.04.2021,08.04.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
6544,G 500 4X4,100,9990000,4 490,9 990,08.04.2021,15.04.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
6588,FORD GT,100,33900000,9 900,33 900,15.04.2021,22.04.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
496,Koenigsegg Agera,100,30000000,9 900,30 000,22.04.2021,29.04.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
542,Rolls-Royce Wraith,100,14900000,5 900,14 900,29.04.2021,06.05.2021,1 / 2 / 3 / 4,Транспорт,,Лимитированные из салона не убираем
